id,name,category_id
1,RACE ROUTINE,1
2,STRATEGY,1
3,START,1
4,FIRST 200mts,1
5,APROACH WM,1
6,LAYLINES,1
7,APROACH LM,1
8,TACTICS,1
9,FINISH,1
10,TACKS,2
11,GYBES,2
12,ACCELERATIONS,2
13,HOIST,2
14,GYBE SET,2
15,DROP,2
16,KIWI DROP,2
17,DROP TACK,2
18,360,2
19,LEE BOW,2
20,UPWIND - HIGH MODE,3
21,UPWIND - LOW MODE,3
22,UPWIND - VMG,3
23,DOWNWIND - HIGH MODE,3
24,DOWNWIND - LOW MODE,3
25,DOWNWIND - VMG,3
26,UNDER PRESSURE,4
27,LEADING,4
28,IN THE BACK,4
29,MOOD WINING,4
30,MOOD LOOSING,4
31,SURVIVAL,4
32,CONFIDENCE,4
33,RESPECT,5
34,HUMILITY,5
35,UNITY,5
36,DESIRE,5
37,PLAN,5
38,HARD WORK,5
39,FLEXIBILITY,5