report_id,URL DATA / url_uid,URL DATA / status,CAMPS / Camps IDs text from workfflow,SETUP / setup_ids,VENUE DATA / venue_id,TEAM DATA / team_id,YEAR / date_created
lLulQjWU23SZFzXXuy5Q,64OhnZcPBEp2kPbxdB7QhxRsdF8xBRliN4BWqcAlsas,Ready,P4abE.LORLGrEEDFL3KFVw,"G9Cj6P-aSJq7t843HSR5rg, K-jL3b1ESN2i79p.CLAqWA, STINWGfuRlutLJTD-9LL0g, OxT.1bz3SIybHyIgV9czsg, rURZZvGfSre5epNOMyzhCA, Q9wspA1VQe-apE.oJiW-KA, BFgE1bsrSb2HyyPB.R-Dtw, QQ1QG8cnT.ylq8k7Hil0.g, gi0w8ABWTFOk60OIGeL61Q, 6DNqoUF5Su6jp2xduVTY-g, GdflMZa7Qiq.AYRDZe2hLQ, hv6RwCQlSZ-x1jQjzQCeQA, iglsAAfPRr6JIzbzHCwZ2Q, 4GPDzU5FTxWPvBZQLgRqUw, g1QMsZ31RBm5hiDw0WWHyA",VabRLgSyQPO5VVchTquvDA,vdpZwd6QRd2i0NFueuPXOA,"19/2/2026, 5:00:40 p. m."
sP0bGd9ocJ89ntfzg1ph,hqHf73ECYZKUr4v1tZseaiADKriCF492ZTUxViI-Cvo,Ready,FYrCLz7gQZms8X-rA4qr7A,"1BFxT26OSWSDWYg51Cupmw, 3O0FWRzhRw2Tq1FBTrNLPw, bwMOuWYDRjS-r2S94gHy-w, Vpxp.EEnSHOKqjLJXXuPyg, MYkdLPAnQNCaT0UXnbOVsA, 8GcxNoxJT3-3j1AUu5gBVA",PofVQaXGTnOvCHx210DEoQ,vdpZwd6QRd2i0NFueuPXOA,"12/10/2025, 5:05:45 p. m."
glJsNJk7S4Xk61OqazIX,YHNgjNdkoIe23Rx8hw5z77guVEJFPrP5bW4Jso9mehM,Ready,"3-.5QSc.QoGcVjIvOCFv5w,MdUWNzfNQxSw.I.rYCEqBA","fkXBFMuIQW2Tw4W70h9EMw, F6ES3m.DS021fY7qnnWkdA, 8GOLv3KFRvC8hZuv46U-CQ, b6ReQTnfRaaoaa5.uH2LVw, TGGjIm72TxSGmA8tSQwnlw, h0NUyzV0SleVZ.AOFSPv5w, p5CGTNptSbaVNvhdMn-0bg, jmIyPBsGScS37k71mMPAdg, bsjQTnn8RsG0jjmXbX0ROQ",PofVQaXGTnOvCHx210DEoQ,vdpZwd6QRd2i0NFueuPXOA,"12/10/2025, 5:08:33 p. m."
FNCmwkdIceStlygzgIX3,wS2wA-_Oay7Oc1Fkymyp5zNZIgxdRx2O7u5KXlOYooY,Ready,OV1EXZpzTHW-LNdgOg4tvA,"f2kr2lS6QHeiocmNvHJ0vQ, ErKwjpgFTXCnSLuhGKVb1w, 5VevnEEpQSeMApBn3OE4DA, J7PhDj9wTwuPgZppH7rDZg",ekxF740NRW2c0qXhGKZBPg,vdpZwd6QRd2i0NFueuPXOA,"17/8/2025, 5:10:18 p. m."
XvnVk62VsnL1bkGiPC1t,2Qq1vhjyaK5m12o3RINycosHzRi3hOPigZqqSBcr32Q,Ready,a.8silI8sRdWTUuoCunC8CA,"HSNToDAZTsGcynA8JVAnXg, ZoPI0KkJRJ-KTBe1zb2wcQ, PSEdypaTQO-d4y4zq01shQ, 746jHWd8Q4GqaZFmAmZvUA, 3HpyTYhCSH65.SeRCP-hqA, 0lotzWHMSkGxKm-Dp-.jng, 3Dt.Fj4fTeeo86SweDTAhw, bSzEkSFnRFKICiquQh-hng",o1eNzbeCRdCI1u8LL3Ykxg,vdpZwd6QRd2i0NFueuPXOA,"18/2/2026, 5:12:07 p. m."
XipyRy0odRcE7LvBAlG9,8zRONVpAnZxaUhB5A4nNmRchT9eYX96_80uSsyQeUBU,Ready,"1XsO3H7OQU2-3BwAVnXyYA,TVRi7Lo1TxWo3RfaeYAFXA,Na57pSbgRTW7lqb82YOJ3A","aij-wxJ5SMajKhDgtSq7NA, kf4FQQOFQoaN2fFab2Fk3w, MK1ewM7dSL-aqRhbcjo7fQ, 3Tylwm8iT96tIX6o2QVEiA, ocrpX2F2Q7iM0.YB.heGEQ, oaOlahPUT0y7Zx9XPoKXIg, zaNmBp38SaKvVGfb4nUIZg, znOPWCHpSmGjxrlDLLakJQ, muv2aj.gSfypEOjzauoeDA, i7CF1WunS0OM4mB4qrxABw, TvUqEbhCRJyH7oL5CP8lJw, cSJF0iHVQZWjKjyPXuiS.Q, GUPxfcuhRWuh76ExPoRbHg, Ek53.J6eQXaKygPYwzqUqQ, 7Hzzi-PHSa6XhhooZ0Axpg, 358Zhp5TRwSvYENOSqnLvg, VwzU5-qkQH2R8mNLb69Rsw, moCY9gwnSLm5yJAbu7nz2g, HcxjrzF4RuGxUYeRlp-Ipg",P-10CnxbS5StgZAsCy20uQ,vdpZwd6QRd2i0NFueuPXOA,"1/7/2025, 5:16:22 p. m."
SxYZfczWzskOU8rr4SBi,ayYU8yXkElRN6FmseiXc4qLBM1IkjeqzB2wW3vRf3HU,Ready,"KQOW-XQESbGncHvEZwW-Ag,WaKVz-IpRrCjorVqk5q7aw","V9SthL2cQ1K0-uaaPGLjvQ, a.Jxi2L3FTv2RM-rCoz4jjw, XeJSmaczRZm1KH0HbFEtvA, jamsr4H3SdySefiFklsGYg, JzlrHKpcSNSU08koC3Azzw, YG.xWUrbSwCtbFF79AGtvQ, ZiC3aJ8FRZ2z.JUDs73Kbw, 6gj7-1cUTKWIVUbRf2tcNA, h4Q4Fiu1TtyRej-fvxHPBg, oX1iUi6rRNa6GM5JvhcVMw, yd5.IjpJRse6wQRLn1NvKw, ILevkurdTkC2WMX15EFbvw",b4j8cWf.SYGd-tUogrp5fQ,vdpZwd6QRd2i0NFueuPXOA,"3/6/2025, 5:20:31 p. m."
vkosOq8uZV967TUiJeDy,Xbl6EAwBVKg36KONcusuiEG3gch7zSOHfIrKeiZsu3k,Ready,Vo4YL.xlQ3Cg6cPkilJ8aw,"GNrMusj7T8On4yBUqJMHtg, 4GB5jRbAQoOfRaJcy0c3hw",HqfuEDdaTly1Wlbw9bbflg,vdpZwd6QRd2i0NFueuPXOA,"15/5/2025, 5:22:49 p. m."
CamIdRMRqkt42l0ZPGiM,sWfO5qwnIFhm7F6Tzu-JUr2m8CYsAy-mp5Mcqr5TlC8,Ready,"5TjNPtK9ThSZc13z9a3qow,1nB.ZQ.wRUKMMnlUwEjkIQ","MkrlIHqrQHOLXQKW1y1CJw, HL3r4M.tQ8OGVDDod8Y5gw, 4PUv7k8SSfm5U2eeuYnU8A, BfSKAl9ZQgmy6IFlqg0xBA, ztpPZQ9iQfK0eIGm3b7PkQ, 67NmnRFSQ5S03QciyaFKIw",d1505uqpRT2ogUWxFkdtGQ,vdpZwd6QRd2i0NFueuPXOA,"26/4/2025, 5:24:26 p. m."
XZJooeqZR1EIjkeSelbN,Qo2fTYEcpN3yE2wAGgqXpvkDBV6z5IVVzWHtwwtjLuc,Ready,UYFqMEVbRKONkz4G7Rpssg,"NOTZJgfJQvmFY4-Cul4EiQ, yHrQKsVQQ7q2otJeJMDuJA, DIE7kjGVQVG6m8tceKmzLw, 9qga83p8SBGQCZm5f0OY7w, mzEEXp3qRJ2It4Z7N7LWhA, An8lggVjTA2EzuQFSndocQ, kRBbVpRYSB6YUJybvPxCtw",fyEEmagVRLiJyHJYp99JCQ,vdpZwd6QRd2i0NFueuPXOA,"4/2/2025, 5:25:32 p. m."
2ySDoWBCQLL4eDyPmvjC,xZXCm50RoMdoJFhMzUVSHg4ahAHOBmFIexisWBCnLok,Ready,"5xqh.QsETT-DrkjYC8Psmw,PM7iWod1Rpu15GYnKI8g8w","obDvKdFdSWyhXVLrDyqCVg, AGgP4mEdRDGNvWVxzCqemw, luhwIcECSyOIA.ymsFxAXQ, T7SZ1C2-SNuZ0x6ALGsNJg, 0oumMyFFRw-RQzEDmI3etA, GuNuPmkUTXWD5kY.G8WyGg, QCy0S3OvQ8CVhHwLpX-.kg, Ur6flpXDTS2jg4gR5c8IpQ",8VZ3ulzfRaWR34SVusMQ9w,vdpZwd6QRd2i0NFueuPXOA,"7/3/2025, 5:52:10 p. m."
6PD9bkquxD6T5t8Ziaqy,rnimBQJtdEwWj2szkAQbFGKKYUSS9CXW5-VBV8rWZ6g,Ready,"a-9YGY.BpR6SlV.AqI9UsHw,eL0CvjPwQ8aO9HZFOuSOyQ","yUvRRp1CSVifAySwMFQIrg, GH6NmHZ-R3KV7EzHqO-4.w, sEFOhWHzS-Sb2TXDcsOU8Q, QnIWQHv9Qc6E.sQ3-SCvGQ, s4TVcKlIQNuUFP8x3FT5xg, DMs8MkFJQZaHDVLxxGdyyQ, kZfILvaxQS-qQv868xs5vA, kIYmeSTsQHaZRMZv260Q1Q, 7mp2lZdiTWWHlpx-Ozc8UA, NiENdz7AQZCvQLqa3r48hg, ESj.axjEQeWvmT7Px4FVdA, 25pqRz-bQXGO54k9Dy6zXg",8VZ3ulzfRaWR34SVusMQ9w,vdpZwd6QRd2i0NFueuPXOA,"7/3/2025, 5:52:36 p. m."
OQEy1DhfecRessA76XTm,SypVB_KUO9qwYK9L1IA8RYX93G_HxC3DWXm9W2fESrs,Processing,"aRYkAb6uQzWW459j8m4xhg,84.briUSTP-14B-eBZC2mQ","bIx.rX.cSPOszNXHa8rz7w, E0Y2vkVnReSiAUF1ryKSSQ, lxUPue7RT6C8s8g62plQWQ, wTKogHc0RguAMkIp7iXPrA, sIo3eWBSRk-prnTFJDpYwg, lRfHkWmUQIOQ0pZeQivnvw, PDhKtT1SSkqWrPHixhNCxQ",8VZ3ulzfRaWR34SVusMQ9w,vdpZwd6QRd2i0NFueuPXOA,"15/3/2026, 10:25:04 p. m."
677Eg2v6h5PIErGgI6VG,,null,"xPf4v1SFSOqJmaW5CsoWlA,k.BKFIPqT0mZjjRdXIGXHA",soHZyTvFSCma7fnsxvbrjA,KYAr-oZ3TiuN5DRs9Oo4HQ,UJEpYnoOSnKSfaXjkFvzsA,"21/3/2026, 8:23:31 a. m."
3lKhcQfrwg6NAH6QOggl,,null,8XlvThljTuGTZWmc1fXCgg,,R57I7ohJSmGa-3SnJNDbfA,UJEpYnoOSnKSfaXjkFvzsA,"21/3/2026, 8:24:00 a. m."
sTgWsBtTqAU56WnSND4j,1INIMAxyF9_vq2xqcpJInwi1M9c3ReMh7c1T9lrLJAE,Ready,"meMxDr1hT7eOGL2ScJLgaw,k8E8OJEUT4yrAv9yg.z4ew","LOFXlKTXTmGoYQgKNcohTQ, RdqDMNs5T7qicG6g7FgKHA, Vq2PqusRT66J27hmThmrcw, KL0r8iRnRzqYua.I-6la9w, 3a-PkymiQkq.kTLcAdjuwQ, onjKsmY8RbODh-n7fJFhDw, xqAT9CorSBKVcejCkm57ng, DTnIEflOQZitA.nMWNv6JA",8VZ3ulzfRaWR34SVusMQ9w,vdpZwd6QRd2i0NFueuPXOA,"4/4/2026, 8:03:35 p. m."